YEAR,GEO,DGUID,Family type,Age of older adult,Family income,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2005,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,21500,,,,0
2006,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,24300,,,,0
2007,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,25220,,,,0
2008,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,25830,,,,0
2009,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,25830,,,,0
2010,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,27450,,,,0
2011,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,26200,,,,0
2012,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,26520,,,,0
2013,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,26630,,,,0
2014,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,28170,,,,0
2015,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,29520,,,,0
2016,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,31480,,,,0
2017,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,31930,,,,0
2018,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,33970,,,,0
2000,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,44580,,,,0
2001,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,48330,,,,0
2002,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,48880,,,,0
2003,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,51790,,,,0
2004,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,53790,,,,0
2005,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,59940,,,,0
2006,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,57640,,,,0
2007,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,59720,,,,0
2008,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,61660,,,,0
2009,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,63610,,,,0
2010,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,65270,,,,0
2011,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,66000,,,,0
2012,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,66580,,,,0
2013,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,67210,,,,0
2014,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,66950,,,,0
2015,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,66800,,,,0
2016,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,66400,,,,0
2017,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,70160,,,,0
2018,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Total all income groups,Number,223,units,0,v21260130,19.2.5.1,69510,,,,0
2000,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,38500,,,,0
2001,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,40700,,,,0
2002,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,40900,,,,0
2003,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,40400,,,,0
2004,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,40700,,,,0
2005,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,38500,,,,0
2006,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,42100,,,,0
2007,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,43550,,,,0
2008,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,44600,,,,0
2009,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,43460,,,,0
2010,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,44650,,,,0
2011,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,45310,,,,0
2012,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,46140,,,,0
2013,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,46850,,,,0
2014,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,48580,,,,0
2015,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,50730,,,,0
2016,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,52580,,,,0
2017,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,51720,,,,0
2018,"Toronto, Ontario",2016S0503535,Lone-parent families,45 to 54 years,Median total income,Dollars,81,units,0,v21260145,19.2.5.23,54540,,,,0
2000,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,696510,,,,0
2001,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,698110,,,,0
2002,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,685930,,,,0
2003,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,700320,,,,0
2004,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,706300,,,,0
2005,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,730860,,,,0
2006,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,748960,,,,0
2007,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,763070,,,,0
2008,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,784910,,,,0
2009,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,799730,,,,0
2010,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,817860,,,,0
2011,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,836970,,,,0
2012,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,853160,,,,0
2013,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,877140,,,,0
2014,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,900210,,,,0
2015,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,921610,,,,0
2016,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,945850,,,,0
2017,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,983500,,,,0
2018,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Total all income groups,Number,223,units,0,v21249849,19.3.1.1,1029080,,,,0
2000,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,21600,,,,0
2001,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,22600,,,,0
2002,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,21800,,,,0
2003,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,22000,,,,0
2004,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,22200,,,,0
2005,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,22600,,,,0
2006,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,22900,,,,0
2007,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,23740,,,,0
2008,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,24030,,,,0
2009,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,23580,,,,0
2010,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,23230,,,,0
2011,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,24510,,,,0
2012,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,24900,,,,0
2013,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,25210,,,,0
2014,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,25660,,,,0
2015,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,26540,,,,0
2016,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,26830,,,,0
2017,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,27430,,,,0
2018,"Toronto, Ontario",2016S0503535,Persons not in census families,Total all ages,Median total income,Dollars,81,units,0,v21249869,19.3.1.23,28820,,,,0
2000,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,138810,,,,0
2001,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,136440,,,,0
2002,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,126670,,,,0
2003,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,128680,,,,0
2004,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,126170,,,,0
2005,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,130200,,,,0
2006,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,130110,,,,0
2007,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,131120,,,,0
2008,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,135260,,,,0
2009,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,138270,,,,0
2010,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,143350,,,,0
2011,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,148340,,,,0
2012,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,151790,,,,0
2013,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,157270,,,,0
2014,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,162830,,,,0
2015,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,168330,,,,0
2016,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,177030,,,,0
2017,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,188760,,,,0
2018,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Total all income groups,Number,223,units,0,v21249886,19.3.3.1,202880,,,,0
2000,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,28100,,,,0
2001,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,28900,,,,0
2002,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,28100,,,,0
2003,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,28400,,,,0
2004,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,28700,,,,0
2005,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,29100,,,,0
2006,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,29700,,,,0
2007,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,30760,,,,0
2008,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,30940,,,,0
2009,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,29750,,,,0
2010,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,29460,,,,0
2011,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,31100,,,,0
2012,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,31810,,,,0
2013,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,32340,,,,0
2014,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,33140,,,,0
2015,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,33990,,,,0
2016,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,34960,,,,0
2017,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,35850,,,,0
2018,"Toronto, Ontario",2016S0503535,Persons not in census families,25 to 34 years,Median total income,Dollars,81,units,0,v21249901,19.3.3.23,37600,,,,0
2000,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,91010,,,,0
2001,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,93200,,,,0
2002,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,92260,,,,0
2003,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,95880,,,,0
2004,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,97980,,,,0
2005,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,102930,,,,0
2006,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,107360,,,,0
2007,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,110800,,,,0
2008,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,115400,,,,0
2009,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,118990,,,,0
2010,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,120950,,,,0
2011,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,122330,,,,0
2012,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,122170,,,,0
2013,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,123230,,,,0
2014,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,123220,,,,0
2015,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,121690,,,,0
2016,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,119590,,,,0
2017,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,117860,,,,0
2018,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Total all income groups,Number,223,units,0,v21260242,19.3.5.1,116580,,,,0
2000,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,31100,,,,0
2001,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,31800,,,,0
2002,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,31600,,,,0
2003,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,31800,,,,0
2004,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,32200,,,,0
2005,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,32800,,,,0
2006,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,33200,,,,0
2007,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,34030,,,,0
2008,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,34270,,,,0
2009,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,32870,,,,0
2010,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,32720,,,,0
2011,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,34250,,,,0
2012,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,34830,,,,0
2013,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,34930,,,,0
2014,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,35810,,,,0
2015,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,37030,,,,0
2016,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,37830,,,,0
2017,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,39280,,,,0
2018,"Toronto, Ontario",2016S0503535,Persons not in census families,45 to 54 years,Median total income,Dollars,81,units,0,v21260257,19.3.5.23,41400,,,,0
